code,description
S06.9X1D,"""Unspecified intracranial injury with loss of consciousness of 30 minutes or less, subsequent encounter"""
S06.9X1S,"""Unspecified intracranial injury with loss of consciousness of 30 minutes or less, sequela"""
S06.9X2D,"""Unspecified intracranial injury with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"""
S06.9X2S,"""Unspecified intracranial injury with loss of consciousness of 31 minutes to 59 minutes, sequela"""
S06.9X3D,"""Unspecified intracranial injury with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"""
S06.9X3S,"""Unspecified intracranial injury with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"""
S06.9X4D,"""Unspecified intracranial injury with loss of consciousness of 6 hours to 24 hours, subsequent encounter"""
S06.9X4S,"""Unspecified intracranial injury with loss of consciousness of 6 hours to 24 hours, sequela"""
S06.9X5D,"""Unspecified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"""
S06.9X5S,"""Unspecified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"""
S06.9X6D,"""Unspecified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"""
S06.9X6S,"""Unspecified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"""
S06.9XAD,"""Unspecified intracranial injury with loss of consciousness status unknown, subsequent encounter"""
S06.9XAS,"""Unspecified intracranial injury with loss of consciousness status unknown, sequela"""
S06.9X9D,"""Unspecified intracranial injury with loss of consciousness of unspecified duration, subsequent encounter"""
S06.9X9S,"""Unspecified intracranial injury with loss of consciousness of unspecified duration, sequela"""
S06.A0XD,"""Traumatic brain compression without herniation, subsequent encounter"""
S06.A0XS,"""Traumatic brain compression without herniation, sequela"""
S06.A1XD,"""Traumatic brain compression with herniation, subsequent encounter"""
S06.A1XS,"""Traumatic brain compression with herniation, sequela"""
S07.0XXD,"""Crushing injury of face, subsequent encounter"""
S07.0XXS,"""Crushing injury of face, sequela"""
S07.1XXD,"""Crushing injury of skull, subsequent encounter"""
S07.1XXS,"""Crushing injury of skull, sequela"""
S07.8XXD,"""Crushing injury of other parts of head, subsequent encounter"""
S07.8XXS,"""Crushing injury of other parts of head, sequela"""
S07.9XXD,"""Crushing injury of head, part unspecified, subsequent encounter"""
S07.9XXS,"""Crushing injury of head, part unspecified, sequela"""
S08.0XXD,"""Avulsion of scalp, subsequent encounter"""
S08.0XXS,"""Avulsion of scalp, sequela"""
S08.111D,"""Complete traumatic amputation of right ear, subsequent encounter"""
S08.111S,"""Complete traumatic amputation of right ear, sequela"""
S08.112D,"""Complete traumatic amputation of left ear, subsequent encounter"""
S08.112S,"""Complete traumatic amputation of left ear, sequela"""
S08.119D,"""Complete traumatic amputation of unspecified ear, subsequent encounter"""
S08.119S,"""Complete traumatic amputation of unspecified ear, sequela"""
S08.121D,"""Partial traumatic amputation of right ear, subsequent encounter"""
S08.121S,"""Partial traumatic amputation of right ear, sequela"""
S08.122D,"""Partial traumatic amputation of left ear, subsequent encounter"""
S08.122S,"""Partial traumatic amputation of left ear, sequela"""
S08.129D,"""Partial traumatic amputation of unspecified ear, subsequent encounter"""
S08.129S,"""Partial traumatic amputation of unspecified ear, sequela"""
S08.811D,"""Complete traumatic amputation of nose, subsequent encounter"""
S08.811S,"""Complete traumatic amputation of nose, sequela"""
S08.812D,"""Partial traumatic amputation of nose, subsequent encounter"""
S08.812S,"""Partial traumatic amputation of nose, sequela"""
S08.89XD,"""Traumatic amputation of other parts of head, subsequent encounter"""
S08.89XS,"""Traumatic amputation of other parts of head, sequela"""
S09.0XXD,"""Injury of blood vessels of head, not elsewhere classified, subsequent encounter"""
S09.0XXS,"""Injury of blood vessels of head, not elsewhere classified, sequela"""
S09.10XD,"""Unspecified injury of muscle and tendon of head, subsequent encounter"""
S09.10XS,"""Unspecified injury of muscle and tendon of head, sequela"""
S09.11XD,"""Strain of muscle and tendon of head, subsequent encounter"""
S09.11XS,"""Strain of muscle and tendon of head, sequela"""
S09.12XD,"""Laceration of muscle and tendon of head, subsequent encounter"""
S09.12XS,"""Laceration of muscle and tendon of head, sequela"""
S09.19XD,"""Other specified injury of muscle and tendon of head, subsequent encounter"""
S09.19XS,"""Other specified injury of muscle and tendon of head, sequela"""
S09.20XD,"""Traumatic rupture of unspecified ear drum, subsequent encounter"""
S09.20XS,"""Traumatic rupture of unspecified ear drum, sequela"""
S09.21XD,"""Traumatic rupture of right ear drum, subsequent encounter"""
S09.21XS,"""Traumatic rupture of right ear drum, sequela"""
S09.22XD,"""Traumatic rupture of left ear drum, subsequent encounter"""
S09.22XS,"""Traumatic rupture of left ear drum, sequela"""
S09.301D,"""Unspecified injury of right middle and inner ear, subsequent encounter"""
S09.301S,"""Unspecified injury of right middle and inner ear, sequela"""
S09.302D,"""Unspecified injury of left middle and inner ear, subsequent encounter"""
S09.302S,"""Unspecified injury of left middle and inner ear, sequela"""
S09.309D,"""Unspecified injury of unspecified middle and inner ear, subsequent encounter"""
S09.309S,"""Unspecified injury of unspecified middle and inner ear, sequela"""
S09.311D,"""Primary blast injury of right ear, subsequent encounter"""
S09.311S,"""Primary blast injury of right ear, sequela"""
S09.312D,"""Primary blast injury of left ear, subsequent encounter"""
S09.312S,"""Primary blast injury of left ear, sequela"""
S09.313D,"""Primary blast injury of ear, bilateral, subsequent encounter"""
S09.313S,"""Primary blast injury of ear, bilateral, sequela"""
S09.319D,"""Primary blast injury of unspecified ear, subsequent encounter"""
S09.319S,"""Primary blast injury of unspecified ear, sequela"""
S09.391D,"""Other specified injury of right middle and inner ear, subsequent encounter"""
S09.391S,"""Other specified injury of right middle and inner ear, sequela"""
S09.392D,"""Other specified injury of left middle and inner ear, subsequent encounter"""
S09.392S,"""Other specified injury of left middle and inner ear, sequela"""
S09.399D,"""Other specified injury of unspecified middle and inner ear, subsequent encounter"""
S09.399S,"""Other specified injury of unspecified middle and inner ear, sequela"""
S09.8XXD,"""Other specified injuries of head, subsequent encounter"""
S09.8XXS,"""Other specified injuries of head, sequela"""
S09.90XD,"""Unspecified injury of head, subsequent encounter"""
S09.90XS,"""Unspecified injury of head, sequela"""
S09.91XD,"""Unspecified injury of ear, subsequent encounter"""
S09.91XS,"""Unspecified injury of ear, sequela"""
S09.92XD,"""Unspecified injury of nose, subsequent encounter"""
S09.92XS,"""Unspecified injury of nose, sequela"""
S09.93XD,"""Unspecified injury of face, subsequent encounter"""
S09.93XS,"""Unspecified injury of face, sequela"""
S10.0XXD,"""Contusion of throat, subsequent encounter"""
S10.0XXS,"""Contusion of throat, sequela"""
S10.10XD,"""Unspecified superficial injuries of throat, subsequent encounter"""
S10.10XS,"""Unspecified superficial injuries of throat, sequela"""
S10.11XD,"""Abrasion of throat, subsequent encounter"""
S10.11XS,"""Abrasion of throat, sequela"""
S10.12XD,"""Blister (nonthermal) of throat, subsequent encounter"""
S10.12XS,"""Blister (nonthermal) of throat, sequela"""
S10.14XD,"""External constriction of part of throat, subsequent encounter"""
S10.14XS,"""External constriction of part of throat, sequela"""
S10.15XD,"""Superficial foreign body of throat, subsequent encounter"""
S10.15XS,"""Superficial foreign body of throat, sequela"""
S10.16XD,"""Insect bite (nonvenomous) of throat, subsequent encounter"""
S10.16XS,"""Insect bite (nonvenomous) of throat, sequela"""
S10.17XD,"""Other superficial bite of throat, subsequent encounter"""
S10.17XS,"""Other superficial bite of throat, sequela"""
S10.80XD,"""Unspecified superficial injury of other specified part of neck, subsequent encounter"""
S10.80XS,"""Unspecified superficial injury of other specified part of neck, sequela"""
S10.81XD,"""Abrasion of other specified part of neck, subsequent encounter"""
S10.81XS,"""Abrasion of other specified part of neck, sequela"""
S10.82XD,"""Blister (nonthermal) of other specified part of neck, subsequent encounter"""
S10.82XS,"""Blister (nonthermal) of other specified part of neck, sequela"""
S10.83XD,"""Contusion of other specified part of neck, subsequent encounter"""
S10.83XS,"""Contusion of other specified part of neck, sequela"""
S10.84XD,"""External constriction of other specified part of neck, subsequent encounter"""
S10.84XS,"""External constriction of other specified part of neck, sequela"""
S10.85XD,"""Superficial foreign body of other specified part of neck, subsequent encounter"""
S10.85XS,"""Superficial foreign body of other specified part of neck, sequela"""
S10.86XD,"""Insect bite of other specified part of neck, subsequent encounter"""
S10.86XS,"""Insect bite of other specified part of neck, sequela"""
S10.87XD,"""Other superficial bite of other specified part of neck, subsequent encounter"""
S10.87XS,"""Other superficial bite of other specified part of neck, sequela"""
S10.90XD,"""Unspecified superficial injury of unspecified part of neck, subsequent encounter"""
S10.90XS,"""Unspecified superficial injury of unspecified part of neck, sequela"""
S10.91XD,"""Abrasion of unspecified part of neck, subsequent encounter"""
S10.91XS,"""Abrasion of unspecified part of neck, sequela"""
S10.92XD,"""Blister (nonthermal) of unspecified part of neck, subsequent encounter"""
S10.92XS,"""Blister (nonthermal) of unspecified part of neck, sequela"""
S10.93XD,"""Contusion of unspecified part of neck, subsequent encounter"""
S10.93XS,"""Contusion of unspecified part of neck, sequela"""
S10.94XD,"""External constriction of unspecified part of neck, subsequent encounter"""
S10.94XS,"""External constriction of unspecified part of neck, sequela"""
S10.95XD,"""Superficial foreign body of unspecified part of neck, subsequent encounter"""
